Time(s),T1,T2,T3,T4,T5,T6,T7,V1,V2,V3,V4,P
0,48.00,47.75,44.75,47.25,47.25,42.00,0.00,0,0,0,0,"447
"
1,47.75,47.75,44.50,47.00,47.00,42.00,0.00,0,0,0,0,"429
"
2,47.75,47.75,44.50,47.50,46.75,42.00,0.00,0,0,0,0,"405
"
3,47.75,47.50,44.50,46.75,46.75,42.25,0.00,0,0,0,0,"391
"
4,47.25,47.50,44.00,47.25,47.25,42.00,0.00,0,0,0,0,"381
"
5,47.75,47.50,44.50,47.25,47.50,42.00,0.00,0,0,0,0,"376
"
6,48.00,47.00,44.75,47.25,46.75,41.50,0.00,0,0,0,0,"372
"
7,48.00,47.25,44.50,47.25,47.50,42.00,0.00,0,0,0,0,"370
"
8,47.75,47.75,44.75,47.75,47.00,42.25,0.00,0,0,0,0,"368
"
9,48.00,47.50,44.25,47.50,47.00,42.00,0.00,1,0,1,1,"367
"
10,48.00,47.50,44.25,47.25,46.50,41.25,0.00,0,0,0,0,"366
"
11,47.75,47.50,44.00,47.25,47.00,41.75,0.00,0,0,0,0,"366
"
12,47.25,47.75,44.25,47.25,47.00,41.50,0.00,1,1,0,0,"365
"
13,48.00,47.50,44.50,47.25,47.25,41.75,0.00,1,0,0,1,"365
"
14,48.00,47.75,44.00,47.25,47.00,41.25,0.00,0,0,0,0,"365
"
15,48.00,47.75,44.75,47.50,47.25,41.75,0.00,0,1,0,1,"365
"
16,48.25,47.75,44.25,47.50,47.25,41.25,0.00,0,1,0,1,"364
"
17,48.50,47.75,44.50,47.50,47.75,41.75,0.00,1,0,0,0,"364
"
18,48.00,47.75,44.50,47.00,47.25,41.75,0.00,1,0,1,1,"364
"
19,48.50,47.75,44.25,47.50,47.25,41.25,0.00,1,0,0,0,"365
"
20,48.75,47.75,43.75,47.25,47.25,41.50,0.00,0,0,0,1,"364
"
21,48.50,47.75,44.00,47.75,47.50,41.75,0.00,0,0,0,0,"364
"
22,48.75,47.75,43.75,47.50,47.75,41.50,0.00,0,1,0,0,"364
"
23,48.75,47.75,44.00,47.50,47.75,41.25,0.00,0,0,0,0,"364
"
24,49.00,47.50,43.75,48.00,48.25,41.25,0.00,0,0,0,0,"364
"
25,49.00,47.50,43.75,47.75,48.25,41.50,0.00,0,0,0,0,"364
"
26,49.00,47.75,44.00,48.00,48.00,41.25,0.00,0,0,0,0,"363
"
27,49.00,47.50,43.75,48.00,48.00,41.25,0.00,0,0,0,0,"363
"
28,49.00,47.50,43.75,47.50,48.50,41.25,0.00,1,1,0,1,"363
"
29,49.25,47.50,43.25,48.00,48.25,41.25,0.00,0,1,0,1,"363
"
30,49.25,47.50,43.50,48.00,48.25,40.75,0.00,1,1,1,1,"363
"
31,49.25,47.25,43.75,48.00,49.00,41.00,0.00,1,0,0,0,"363
"
32,49.50,47.25,43.50,48.00,48.50,40.00,0.00,1,0,0,0,"363
"
33,49.50,46.75,43.50,48.25,48.75,41.00,0.00,1,0,0,1,"362
"
34,49.25,47.00,43.50,48.25,49.00,40.75,0.00,1,0,0,0,"362
"
35,49.75,47.25,43.00,48.25,48.75,41.00,0.00,1,1,0,1,"362
"
36,49.50,47.25,42.50,48.25,49.00,41.00,0.00,1,1,0,1,"362
"
37,49.75,47.25,43.25,48.50,49.00,41.25,0.00,0,0,0,1,"362
"
38,49.50,47.25,43.50,48.00,48.75,40.50,0.00,0,0,0,0,"362
"
39,49.75,47.00,42.25,48.25,49.00,41.00,0.00,0,0,0,0,"362
"
40,49.75,47.00,43.50,48.75,49.50,40.25,0.00,0,1,0,0,"362
"
41,49.75,47.25,43.00,48.50,49.75,40.25,0.00,0,1,0,1,"361
"
42,49.50,47.50,42.50,48.75,49.50,40.25,0.00,0,1,1,1,"361
"
43,50.00,46.75,43.00,48.50,49.75,40.50,0.00,1,0,1,1,"361
"
44,49.75,47.25,42.50,48.75,49.50,40.75,0.00,1,0,0,1,"361
"
45,50.00,46.75,42.50,49.00,50.00,41.00,0.00,0,0,0,0,"361
"
46,50.50,47.00,42.75,49.00,50.00,40.00,0.00,0,0,0,1,"360
"
47,50.50,47.00,42.25,49.00,49.25,40.25,0.00,0,0,0,0,"361
"
48,50.00,47.00,42.50,48.75,50.50,40.25,0.00,0,1,0,1,"360
"
49,50.25,47.00,42.50,49.00,50.50,40.25,0.00,0,0,0,0,"360
"
50,50.50,47.25,42.50,49.25,50.25,40.50,0.00,1,1,0,1,"360
"
51,50.25,47.00,42.25,49.25,50.25,39.75,0.00,1,0,0,1,"360
"
52,50.75,47.25,42.00,49.25,50.75,40.25,0.00,1,0,0,1,"359
"
53,50.75,47.25,42.50,49.25,51.00,40.00,0.00,1,0,0,0,"360
"
54,50.50,47.00,42.25,49.00,51.00,39.75,0.00,0,1,0,0,"361
"
55,50.25,47.25,42.00,49.25,51.25,40.00,0.00,0,1,0,1,"359
"
56,50.75,47.25,42.50,49.50,51.25,40.00,0.00,0,1,0,1,"359
"
57,50.75,46.75,42.00,49.75,51.50,39.50,0.00,1,0,0,1,"359
"
58,50.75,47.25,42.00,49.50,51.25,40.00,0.00,1,0,0,0,"359
"
59,51.00,47.25,42.00,49.75,51.75,40.25,0.00,0,0,0,0,"359
"
60,51.25,47.25,42.00,50.00,52.00,39.00,0.00,0,1,0,1,"359
"
61,51.00,47.00,41.50,50.25,51.75,39.75,0.00,0,0,0,0,"359
"
62,51.75,46.75,42.00,50.25,52.00,40.00,0.00,0,1,0,0,"359
"
63,51.25,46.25,41.50,50.00,51.75,39.75,0.00,0,0,0,1,"359
"
64,51.25,47.00,41.75,49.75,52.25,39.25,0.00,1,0,0,0,"359
"
65,51.75,46.75,41.75,50.25,52.25,39.25,0.00,1,0,1,1,"359
"
66,51.25,46.75,41.25,50.75,52.25,39.50,0.00,0,0,0,0,"358
"
67,52.00,47.00,41.25,50.50,52.50,39.75,0.00,1,0,0,0,"358
"
68,51.75,47.00,41.25,50.50,52.50,39.75,0.00,0,0,0,0,"359
"
69,51.75,47.00,41.25,50.25,52.75,39.50,0.00,0,0,0,0,"359
"
70,51.75,47.00,41.50,50.75,53.00,39.50,0.00,0,0,0,0,"359
"
71,52.00,46.75,41.50,50.75,52.75,39.50,0.00,0,0,0,1,"359
"
72,52.00,47.00,41.25,50.25,53.00,39.50,0.00,0,1,0,0,"359
"
73,52.00,46.75,41.50,51.00,53.25,39.00,0.00,0,0,1,0,"359
"
74,52.25,46.75,41.50,51.00,53.25,39.25,0.00,0,0,0,0,"359
"
75,52.25,47.00,41.25,51.00,53.25,39.25,0.00,0,1,1,1,"359
"
76,52.25,47.25,41.00,51.25,53.50,38.75,0.00,1,0,0,0,"360
"
77,52.50,46.75,41.00,50.75,53.50,39.50,0.00,0,1,0,1,"358
"
78,52.50,49.25,41.25,51.25,54.25,39.50,0.00,0,1,0,0,"358
"
79,52.75,48.75,40.75,51.50,53.75,39.25,0.00,0,1,0,1,"358
"
80,52.75,48.50,41.00,51.75,54.00,39.25,0.00,0,0,1,0,"359
"
81,52.50,48.00,40.75,51.50,53.50,39.25,0.00,1,1,0,1,"358
"
82,53.00,48.00,40.75,51.25,54.25,39.25,0.00,0,1,0,1,"358
"
83,52.75,47.75,40.75,51.75,54.50,39.50,0.00,0,1,0,0,"358
"
84,53.50,48.00,41.00,52.00,54.50,39.25,0.00,1,0,0,0,"358
"
85,53.50,52.50,41.25,51.50,54.75,39.25,0.00,1,1,1,1,"358
"
86,53.00,52.75,41.00,51.75,54.75,39.25,0.00,0,1,0,0,"358
"
87,53.25,52.75,40.00,51.50,54.50,38.50,0.00,0,1,0,0,"358
"
88,53.00,52.75,40.75,52.25,55.00,39.00,0.00,0,1,0,1,"358
"
89,53.50,52.50,40.75,52.00,55.00,39.00,0.00,1,0,0,1,"357
"
90,53.25,52.75,40.75,52.25,54.75,38.75,0.00,1,1,0,0,"358
"
