Time(s),Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Water Outlet,Water Inlet,V1,V2,V3,V4,,
0,44.75,42.5,41.5,42.5,37.5,37.25,0,1,1,1,,
1,44.25,42.5,41.25,42.5,37.25,37,0,1,0,0,,
2,44.25,42.25,41.5,42.25,36.75,37.25,0,0,0,0,,
3,44.25,42,41.75,42,36.75,36.5,0,1,0,1,,
4,44.75,42.25,41.25,42.25,36.75,37,1,0,0,1,,
5,45,42.5,41.75,42.5,36.25,37.25,1,1,0,1,,
6,45.25,43,41.75,43,36.5,37,0,1,1,0,,
7,45,42.75,41.75,42.75,36.5,37,0,0,0,1,,
8,45.25,43.75,42,43.75,36,36.75,0,0,0,1,,
9,46,43.5,42.25,43.5,36.25,37,0,0,0,1,,
10,46,43.5,42.25,43.5,36,36.5,0,1,1,1,,
11,46.5,43.5,42,43.5,36.5,36.5,1,0,0,1,,
12,46.75,44.25,42.5,44.25,36.25,36.75,1,1,0,1,,
13,46,44.25,43,44.25,36.5,36.75,0,0,0,1,,
14,47.25,43.75,42.75,43.75,36.5,36.5,0,1,0,0,,
15,47,44.75,43,44.75,36.5,36.5,0,0,0,0,,
16,47.75,45.25,43,45.25,36,37,0,1,0,0,,
17,48,45.25,43,45.25,36.25,36.5,1,0,0,1,,
18,48,45.75,43,45.75,35.5,36.25,0,1,0,0,,
19,48.25,45.5,42.5,45.5,35.75,36.25,0,0,0,0,,
20,48.5,46,43,46,35.5,36.5,0,0,0,0,,
21,48.5,45.5,43.5,45.5,36,36.5,0,1,0,0,,
22,49.25,46.25,43.75,46.25,36,36.5,0,0,0,0,,
23,49.25,45.5,43.75,45.5,35.75,36.75,1,1,0,1,,
24,49.5,46.5,44,46.5,35.75,36.5,1,0,0,0,,
25,49.75,46.25,44,46.25,36,36,0,0,1,0,,
26,50,47,44.25,47,36,36.5,0,0,0,0,,
27,50,46.75,44.25,46.75,35.75,36.5,0,1,0,0,,
28,50,47.25,44.5,47.25,35.5,36.5,1,1,1,1,,
29,50.75,47.5,44.25,47.5,35.5,36.75,0,0,0,0,,
30,50.75,47.5,45,47.5,36,36.75,0,0,1,1,,
31,50.5,48,44.5,48,35.75,36.75,0,0,0,1,,
32,51,47.75,44.5,47.75,35.75,36.75,0,1,1,0,,
33,51.25,48,44.75,48,35.25,36.75,1,0,0,1,,
34,51.5,48.25,45,48.25,36,36.75,0,0,0,1,,
35,51.25,48.5,45.25,48.5,36,36.75,0,0,0,1,,
36,52.25,48.75,45.25,48.75,36,36.75,1,1,0,1,,
37,52.25,48.75,45.5,48.75,35.75,36.75,0,0,0,0,,
38,52.5,49,45.5,49,36,36.5,1,1,0,0,,
39,52.5,49.25,45.75,49.25,35.5,37,1,0,0,0,,
40,52.75,49.75,45.5,49.75,36,36.75,0,0,0,0,,
41,52.75,50,46,50,35.75,37,1,0,1,0,,
42,53.5,50.25,46.25,50.25,35.75,36.75,0,1,0,0,,
43,54,50,46,50,35.75,37.5,0,1,1,1,,
44,54,50.25,46.5,50.25,36,37.25,0,1,0,1,,
45,53.75,51,47,51,36.25,37.25,1,0,0,1,,
46,54.75,50.75,47,50.75,36,37.5,0,1,1,0,,
47,55,51.5,47.5,51.5,36.25,37.25,0,0,0,0,,
48,55.5,51.25,46.75,51.25,36,37.25,1,0,0,1,,
49,55.75,52,47.25,52,36.25,37.5,1,0,1,0,,
50,55.75,52,47.75,52,36.75,37.75,0,1,1,0,,
51,55.75,52.5,47.5,52.5,36,37.75,0,1,0,0,,
52,56.25,52.75,47.75,52.75,36,37.75,0,1,0,1,,
53,55.5,53,48,53,36.25,37.75,0,1,0,1,,
54,56.25,53,47.5,53,36.25,37.75,1,0,0,1,,
55,56.5,53,48,53,36.25,37.75,0,0,0,0,,
56,57.25,52.75,48,52.75,36.25,38,0,0,1,0,,
57,57.25,53.5,48.25,53.5,36.5,37.5,0,0,0,0,,
58,57.5,53.5,48.5,53.5,36.75,38,0,0,0,0,,
59,57.75,54,48.5,54,36.75,38.5,0,1,0,1,,
60,57.75,53.75,49,53.75,36.5,38.25,1,1,1,0,,
61,57.75,54,49,54,36.75,37.75,0,0,0,0,,
62,58,54,49,54,36.5,38.25,0,1,0,0,,
63,58.25,54,48.75,54,36.75,38,0,0,0,0,,
64,57.75,54,48.75,54,36.5,38.25,0,1,0,0,,
65,57.75,54,49,54,36.75,38.25,0,0,0,1,,
66,58.5,53.75,48.75,53.75,36.5,38.25,0,1,0,1,,
67,58,54.75,49,54.75,36.5,38.25,0,0,0,1,,
68,58.75,54.5,49.25,54.5,36.25,38.25,1,0,0,0,,
69,58.25,54.5,49.5,54.5,36.75,38.5,0,1,0,0,,
70,58.75,54.75,49.25,54.75,36.75,38,0,0,0,0,,
71,58.75,54.75,49.5,54.75,36.75,38.5,1,1,0,1,,
72,58.25,55,49.5,55,36.75,38.25,0,0,0,1,,
73,59,55.5,49.25,55.5,36.75,38.75,0,0,0,0,,
74,59,54.75,49.25,54.75,36.75,38.5,0,1,0,1,,
75,59.5,55.25,49.75,55.25,36.75,38.25,0,1,0,0,,
76,59,55.75,49.5,55.75,36.75,38.75,0,0,0,1,,
77,59,55.5,50,55.5,37.25,38.75,0,0,0,0,,
78,59.25,55.75,50,55.75,37,39,0,0,0,0,,
79,59.25,55.5,50.25,55.5,36.75,38.25,0,0,0,1,,
80,59.75,55.75,50.25,55.75,37,38.75,0,1,0,1,,
81,59.5,55.5,50,55.5,37,38.75,0,0,0,0,,
82,59.5,55.5,49.75,55.5,37,38.75,0,0,0,1,,
83,60,55.75,50.25,55.75,37,39.25,0,0,0,1,,
84,59.25,56.25,50.5,56.25,36.5,39,0,0,0,0,,
85,60,56,50.25,56,36.75,39,0,0,0,0,,
86,60.5,56.5,50.5,56.5,37.5,39,0,1,0,0,,
87,60.25,56.25,50.25,56.25,37.25,38.5,0,1,0,1,,
88,60.75,56.25,49.5,56.25,37.5,39.25,0,0,0,0,,
89,60.5,56.5,50,56.5,37,39.5,0,0,1,0,,
90,60.75,57.25,49.75,57.25,37.5,39,0,1,0,1,,
91,60.75,57,49,57,37.5,39.25,1,1,0,0,,
92,60.5,57.25,49.5,57.25,37.5,39.25,0,0,1,0,,
93,61.25,56.75,50.5,56.75,37.75,38.75,1,0,0,0,,
94,61,57.5,50.25,57.5,37.25,39.5,1,0,0,1,,
95,61,57.75,50.75,57.75,37.5,39.75,0,1,0,0,,
96,61.75,58,50.25,58,37.75,39.5,1,0,1,0,,
97,61.75,57.75,50.75,57.75,37.75,40,0,0,0,1,,
98,61.25,58,50.75,58,38.25,39.75,0,0,0,0,,
99,61.75,58.5,51,58.5,38,39.25,0,0,0,0,,
100,62,58.5,51.75,58.5,38.5,39.75,0,0,0,1,,
101,61.75,58.5,51,58.5,38.25,40,0,1,0,1,,
102,62,59,51.75,59,38.5,39.75,0,1,0,1,,
103,62.25,59.25,51.25,59.25,38.75,40.25,0,0,0,0,,
104,62.25,59,51.5,59,38.75,40.25,0,0,0,0,,
105,62.75,59.5,51.75,59.5,39,40.25,0,0,0,1,,
106,62.75,59.5,52.25,59.5,38.75,40.5,1,1,1,0,,
107,62.75,59.25,51.25,59.25,38.75,40.25,0,1,0,0,,
108,63,59.25,52,59.25,38.75,40.5,0,1,0,0,,
109,63,59.75,52,59.75,38.5,40.5,0,1,1,1,,
110,63.25,59,52.25,59,38.5,40.5,0,0,0,1,,
111,63.25,59.5,52.25,59.5,39.25,40.5,0,0,0,0,,
112,63.5,60,52,60,39.25,40.75,0,1,1,0,,
113,63,60.25,52.25,60.25,39.25,40.5,0,0,0,1,,
114,63.75,59.5,52.25,59.5,39.25,41.25,0,1,1,0,,
115,63.75,60.75,52.5,60.75,39.5,41,0,0,0,1,,
116,63.75,60.25,52.75,60.25,39.25,41,0,0,0,0,,
117,64.25,60.75,52.75,60.75,39.75,40.25,0,1,0,0,,
118,64.5,61,52.75,61,40,41.25,0,0,0,1,,
119,64.25,61,53.25,61,39.75,41.5,0,1,0,1,,
120,64.5,61.25,52.75,61.25,39.75,41.25,0,0,0,0,,
121,64.5,61,53.25,61,40.25,41,0,1,0,0,,
122,64.5,61,53.5,61,40.25,41.25,0,1,0,1,,
123,64.75,61.5,53.75,61.5,40.5,41,0,0,0,0,,
124,65,61.75,53.75,61.75,40.5,41.75,0,0,0,0,,
125,65.25,61.75,53.5,61.75,40.75,41.5,0,0,1,1,,
126,65.5,62,54,62,40.75,41.25,1,0,0,0,,
127,65.5,61.5,53.25,61.5,40,41.75,0,1,0,0,,
128,65.25,61.5,53.75,61.5,40.75,41.5,0,1,0,1,,
129,65.5,62,54,62,41,41.5,0,1,0,0,,
130,65.25,61.5,53.5,61.5,41,41.5,0,1,1,0,,
131,65.75,61.75,54.5,61.75,41,41.75,0,1,0,1,,
